ID	Latitude	Longitude
RMCA 18568-M-	-7.16667	29.83333
RBINS 11548	-7.83333	26.5
RBINS 11567	-9.16667	27.5
RBINS 11534	-8.83333	24.83333
RBINS 17203	-11.5	27.5
RBINS 11570	-9.16667	25.16667
RBINS 11565	-9.16667	26.83333
RMCA 11307-M-	-7.16667	27.83333
RMCA 1222-M-	-8.16667	26.5
RMCA 10799-M-	-9.16667	28.5
RMCA 13487-M-	-8.83333	27.5
RBINS 11530	-8.83333	27.16667
RBINS 11539	-9.16667	27.16667
RBINS 11536	-8.83333	26.83333
RBINS 13135	-8.5	29.5
RMCA 4885-M-	-8.5	28.83333
RBINS 593	-5.83333	29.5
RMCA 8844-M-	-6.5	29.5
MCZ 59826	-1.5	36.83333
LACM 045587	-1.83333	37.16667
USNM 161704	-1.5	37.16667
USNM 181622	-1.83333	35.83333
AMNH M-118570	-3.5	37.83333
USNM 181621	-0.83333	35.16667
USNM 197051	-2.16667	38.5
MCZ 51473	-15.83333	35.16667
MCZ 51474	-13.5	34.16667
KU 79412	-16.16667	35.16667
AMNH M-162559	-15.83333	35.5
MCZ 43812	-16.16667	35.5
MVZ MVZ:Mamm:135055	-13.83333	34.5
MCZ 43813	-14.5	35.16667
MCZ 43783	-15.5	35.16667
USNM 367264	-14.83333	33.5
FMNH 183861	-15.5	37.16667
USNM 367267	-14.83333	32.16667
RMCA 11262-M-	-8.5	28.5
RMCA 96.036-M-5433	-6.5	37.5
USNM 251932	-6.16667	35.83333
FMNH 150371	-5.16667	38.5
FMNH 150370	-4.83333	38.83333
FMNH 168421	-5.5	37.5
MCZ 22972	-6.83333	36.83333
YPM YPM MAM 003730	-6.83333	37.83333
LACM 057751	-6.5	36.83333
RMCA 96.037-M-5585	-6.83333	37.5
FMNH 171473	-7.83333	31.83333
FMNH 47383	-3.16667	37.16667
FMNH 192647	-7.83333	36.83333
RMCA 96.037-M-5743	-10.16667	38.83333
FMNH 197655	-7.5	36.83333
PSM Mammal-09758	-4.16667	37.83333
UAZ UAZ 09069	-7.83333	31.5
RBINS 11551	-8.5	26.83333
USNM 196908	-1.5	35.83333
USNM 162819	-2.16667	36.16667
AY425921	-1.83333	36.83333
AY425930	-4.83333	38.5
AY425942	-11.16667	33.83333
GU197590	-9.83333	37.83333
JN244287	-8.16667	36.16667
JN244288	-7.5	31.16667
JN244298	-13.5	32.5
JN244299	-13.83333	32.16667
JN244301	-14.16667	31.16667
JN244302	-10.5	33.5
JN244305	-11.83333	33.83333
KE585	-3.5	38.5
M5x147	-15.16667	35.5
M8x0041	-15.83333	35.83333
M8x0235	-13.5	33.83333
M8x3004	-10.5	33.83333
M8x3142	-14.5	35.5
MOZ127	-16.5	36.5
MOZ204	-16.83333	38.83333
MOZ305	-12.83333	35.16667
RS1642	-8.5	29.16667
T8x404	-10.83333	39.16667
T8x405	-10.83333	37.83333
T8x438	-10.83333	35.16667
T8x457	-8.83333	33.16667
T8x546	-8.16667	35.83333
TZ27501	-5.5	38.16667
TZ29665	-5.83333	37.5
Z7x41	-14.83333	30.5
M5x172	-15.16667	35.16667
